sale_id,sale_date,generation,year,mileage_km,condition_grade,modifications,auction_house,country,final_price_usd,engine_code,transmission,color
SALE_00061,2022-11-01,R34,1999,67000,C,modified,Bring a Trailer,USA,85034.61,RB26DETT,Manual,Red
SALE_00062,2023-03-28,R32,1991,111820,C,stock,Barrett-Jackson,Australia,25886.95,RB26DETT,Automatic,Black
SALE_00063,2022-07-08,R33,1998,58446,C,stock,Bring a Trailer,USA,41134.62,RB26DETT,Manual,Bayside Blue
SALE_00064,2020-02-24,R34,2001,32406,B,stock,Barrett-Jackson,USA,119452.98,RB26DETT,Manual,Midnight Purple
SALE_00065,2019-07-29,R34,2001,118134,B,modified,Mecum,Canada,80708.07,RB26DETT,Manual,Black
SALE_00066,2023-03-10,R32,1989,86722,A,stock,Cars & Bids,Japan,42031.41,RB26DETT,Automatic,White
SALE_00067,2024-03-04,R33,1995,58945,D,modified,Mecum,USA,30504.21,RB26DETT,Manual,Black
SALE_00068,2024-01-24,R34,2001,76672,B,stock,Bring a Trailer,USA,111236.19,RB26DETT,Manual,Red
SALE_00069,2019-11-13,R33,1996,57292,B,stock,Bring a Trailer,USA,47795.56,RB26DETT,Manual,Midnight Purple
SALE_00070,2020-05-25,R32,1989,108512,C,stock,Cars & Bids,Australia,24657.8,RB26DETT,Automatic,Black
SALE_00071,2022-04-02,R34,2000,130540,D,stock,Cars & Bids,USA,48851.29,RB26DETT,Automatic,Midnight Purple
SALE_00072,2023-02-07,R33,1995,77791,C,modified,Bring a Trailer,Australia,34044.85,RB26DETT,Manual,White
SALE_00073,2024-03-26,R33,1997,114605,B,stock,Barrett-Jackson,Australia,36266.32,RB26DETT,Manual,Red
SALE_00074,2021-04-30,R32,1993,80157,C,modified,Cars & Bids,Japan,29715.88,RB26DETT,Manual,Midnight Purple
SALE_00075,2024-01-30,R32,1994,60304,B,stock,Mecum,USA,38939.08,RB26DETT,Automatic,Silver
SALE_00076,2018-07-25,R34,2000,55163,C,stock,Bring a Trailer,UK,85998.68,RB26DETT,Manual,Bayside Blue
SALE_00077,2023-12-16,R33,1998,63102,B,modified,Bonhams,Australia,54605.39,RB26DETT,Manual,Silver
SALE_00078,2018-11-25,R34,2001,111752,B,stock,Mecum,USA,74733.89,RB26DETT,Automatic,Silver
SALE_00079,2018-10-06,R32,1994,105982,B,stock,Mecum,USA,33335.09,RB26DETT,Manual,Silver
SALE_00080,2024-05-22,R34,2000,79558,B,stock,Mecum,Australia,103174.23,RB26DETT,Automatic,Bayside Blue
SALE_00081,2018-06-12,R33,1995,91267,B,stock,Mecum,Canada,37475.58,RB26DETT,Manual,Silver
SALE_00082,2025-05-16,R33,1997,90997,A,stock,Bonhams,USA,46509.92,RB26DETT,Automatic,Black
SALE_00083,2021-07-19,R33,1995,82281,A,modified,Bonhams,Canada,48737.64,RB26DETT,Manual,Silver
SALE_00084,2021-07-10,R32,1994,36977,B,stock,Barrett-Jackson,Japan,44870.5,RB26DETT,Manual,Red
SALE_00085,2019-06-21,R32,1989,138927,B,stock,Mecum,UK,29231.4,RB26DETT,Manual,Black
SALE_00086,2018-10-25,R32,1992,98425,A,stock,Barrett-Jackson,Australia,40085.73,RB26DETT,Manual,White
SALE_00087,2024-04-25,R33,1996,85762,C,stock,Bring a Trailer,Australia,39865.81,RB26DETT,Manual,Silver
SALE_00088,2020-05-23,R32,1991,80858,B,stock,Bring a Trailer,USA,40908.36,RB26DETT,Manual,Silver
SALE_00089,2021-11-30,R33,1997,88809,A,stock,Bonhams,UK,46505.5,RB26DETT,Manual,Midnight Purple
SALE_00090,2021-03-13,R32,1994,130614,C,stock,Bring a Trailer,Japan,27314.6,RB26DETT,Manual,White
SALE_00091,2025-11-21,R33,1996,142534,B,stock,Mecum,Australia,40339.18,RB26DETT,Manual,Silver
SALE_00092,2023-12-07,R34,2002,22586,D,stock,Barrett-Jackson,Canada,89491.21,RB26DETT,Manual,Red
SALE_00093,2025-06-10,R32,1994,73812,C,stock,Bring a Trailer,Canada,24970.73,RB26DETT,Manual,White
SALE_00094,2019-04-18,R32,1989,81455,B,modified,Bring a Trailer,Japan,33578.65,RB26DETT,Manual,White
SALE_00095,2021-01-20,R33,1998,79736,C,modified,Bring a Trailer,Canada,35773.23,RB26DETT,Manual,Midnight Purple
SALE_00096,2021-11-05,R33,1996,107990,A,stock,Barrett-Jackson,Canada,41320.85,RB26DETT,Manual,Midnight Purple
SALE_00097,2023-06-25,R33,1995,135409,C,stock,Mecum,UK,30331.91,RB26DETT,Manual,Silver
SALE_00098,2025-02-11,R34,1999,60444,B,stock,Barrett-Jackson,USA,111094.54,RB26DETT,Manual,Bayside Blue
SALE_00099,2018-01-15,R34,1999,62522,A,stock,Cars & Bids,UK,121217.38,RB26DETT,Manual,Bayside Blue
SALE_00100,2020-12-08,R33,1996,26892,D,modified,Barrett-Jackson,Japan,34364.01,RB26DETT,Automatic,Red
SALE_00101,2025-11-30,R32,1991,82597,B,modified,Mecum,Australia,33653.51,RB26DETT,Manual,Silver
SALE_00102,2019-04-04,R34,2000,95483,A,stock,Cars & Bids,Canada,106148.36,RB26DETT,Manual,Bayside Blue
SALE_00103,2018-05-28,R34,1999,71893,C,stock,Bring a Trailer,Japan,92761.07,RB26DETT,Manual,Silver
SALE_00104,2019-08-30,R33,1996,10209,B,stock,Barrett-Jackson,Canada,65504.64,RB26DETT,Manual,Silver
SALE_00105,2021-06-16,R33,1995,87068,A,modified,Cars & Bids,Japan,51676.67,RB26DETT,Manual,Bayside Blue
SALE_00106,2020-05-10,R32,1992,95281,B,modified,Barrett-Jackson,USA,37056.4,RB26DETT,Manual,White
SALE_00107,2024-04-12,R32,1989,109102,A,stock,Mecum,USA,39750.15,RB26DETT,Manual,White
SALE_00108,2019-09-26,R33,1996,111126,A,modified,Cars & Bids,Canada,39441.72,RB26DETT,Manual,Red
SALE_00109,2022-08-16,R33,1995,49441,B,modified,Mecum,Japan,62403.83,RB26DETT,Manual,Midnight Purple
SALE_00110,2021-09-22,R33,1998,31033,B,stock,Bring a Trailer,Japan,58233.92,RB26DETT,Automatic,Red
SALE_00111,2019-10-15,R33,1998,29616,B,modified,Cars & Bids,Japan,51758.32,RB26DETT,Manual,White
SALE_00112,2023-04-12,R32,1989,83281,C,modified,Bring a Trailer,Australia,29407.98,RB26DETT,Manual,Bayside Blue
SALE_00113,2021-12-03,R32,1992,61103,A,stock,Mecum,Japan,46342.52,RB26DETT,Manual,Black
SALE_00114,2018-04-07,R34,1999,156160,B,stock,Barrett-Jackson,Japan,86645.75,RB26DETT,Manual,Midnight Purple
SALE_00115,2021-02-15,R34,1999,52542,B,modified,Mecum,Australia,105473.95,RB26DETT,Automatic,White
SALE_00116,2025-03-12,R33,1997,69926,A,stock,Bring a Trailer,UK,59765.26,RB26DETT,Manual,White
SALE_00117,2024-01-06,R32,1992,104133,B,stock,Bonhams,Australia,31911.59,RB26DETT,Manual,Red
SALE_00118,2020-12-05,R32,1993,93361,B,stock,Barrett-Jackson,USA,35840.91,RB26DETT,Automatic,Bayside Blue
SALE_00119,2018-06-06,R33,1998,157200,A,modified,Mecum,Canada,39373.15,RB26DETT,Manual,White
SALE_00120,2021-11-16,R34,2002,147694,B,modified,Bring a Trailer,Canada,71787.48,RB26DETT,Manual,Black
SALE_00121,2023-09-26,R32,1991,121657,B,stock,Barrett-Jackson,Australia,23381.38,RB26DETT,Manual,Silver
SALE_00122,2020-02-18,R32,1989,62968,C,stock,Bring a Trailer,Australia,31432.24,RB26DETT,Automatic,Silver
SALE_00123,2022-11-22,R33,1995,108070,A,stock,Barrett-Jackson,USA,50881.11,RB26DETT,Manual,Red
SALE_00124,2025-09-14,R34,1999,28744,B,modified,Bring a Trailer,Canada,122549.65,RB26DETT,Manual,Silver
SALE_00125,2018-10-14,R34,2001,104415,C,modified,Mecum,UK,61857.72,RB26DETT,Manual,Black
SALE_00126,2025-06-10,R34,1999,29202,A,stock,Barrett-Jackson,Canada,125644.5,RB26DETT,Manual,White
SALE_00127,2021-06-20,R34,2002,89783,B,modified,Bring a Trailer,UK,79075.81,RB26DETT,Manual,Silver
SALE_00128,2025-10-26,R32,1990,66244,A,modified,Cars & Bids,UK,45263.74,RB26DETT,Manual,Black
SALE_00129,2020-02-25,R34,1999,27395,D,modified,Barrett-Jackson,Canada,74305.52,RB26DETT,Manual,Midnight Purple
SALE_00130,2019-12-14,R34,2002,79403,A,stock,Cars & Bids,Australia,113242.53,RB26DETT,Manual,Red
SALE_00131,2022-07-22,R34,2000,39554,A,modified,Bonhams,Canada,131067.9,RB26DETT,Automatic,White
SALE_00132,2021-03-21,R33,1995,113090,C,stock,Bonhams,USA,35365.01,RB26DETT,Manual,White
SALE_00133,2024-10-20,R33,1996,140167,C,stock,Mecum,Australia,31405.0,RB26DETT,Manual,Silver
SALE_00134,2022-12-17,R32,1989,107341,B,stock,Barrett-Jackson,Australia,29457.87,RB26DETT,Manual,Black
SALE_00135,2019-11-27,R33,1995,24773,B,stock,Mecum,Canada,49822.37,RB26DETT,Manual,Black
SALE_00136,2025-06-12,R34,2001,84416,A,modified,Bring a Trailer,UK,100579.3,RB26DETT,Manual,Silver
SALE_00137,2020-08-20,R34,2001,97219,B,modified,Bonhams,UK,72871.48,RB26DETT,Automatic,Bayside Blue
SALE_00138,2019-08-27,R34,1999,88932,A,modified,Barrett-Jackson,Japan,90788.86,RB26DETT,Manual,Midnight Purple
SALE_00139,2023-05-01,R34,2001,114478,A,stock,Bring a Trailer,USA,91919.95,RB26DETT,Manual,Midnight Purple
SALE_00140,2022-08-25,R33,1997,51659,A,stock,Bonhams,USA,70766.27,RB26DETT,Manual,Black
SALE_00141,2025-10-23,R34,2000,27113,A,modified,Bonhams,Japan,148559.95,RB26DETT,Manual,Red
SALE_00142,2020-09-26,R34,2001,53941,D,modified,Cars & Bids,Australia,70377.96,RB26DETT,Manual,Black
SALE_00143,2022-10-08,R34,1999,105017,A,stock,Mecum,USA,106126.43,RB26DETT,Manual,Bayside Blue
SALE_00144,2023-10-23,R34,1999,70689,B,modified,Mecum,Japan,101576.04,RB26DETT,Manual,Red
SALE_00145,2020-10-17,R33,1997,93399,D,modified,Cars & Bids,USA,27853.14,RB26DETT,Manual,Silver
SALE_00146,2023-03-19,R34,2001,120699,B,modified,Bring a Trailer,Australia,58912.98,RB26DETT,Manual,Midnight Purple
SALE_00147,2021-07-23,R33,1995,86664,B,modified,Bonhams,Canada,39306.24,RB26DETT,Manual,Silver
SALE_00148,2023-08-30,R32,1989,141271,C,stock,Cars & Bids,Canada,25243.18,RB26DETT,Manual,Red
SALE_00149,2019-10-14,R34,2000,101401,C,modified,Cars & Bids,Canada,68176.33,RB26DETT,Manual,Black
SALE_00150,2020-10-09,R34,1999,79271,B,stock,Cars & Bids,Australia,92806.86,RB26DETT,Manual,White
SALE_00151,2025-01-11,R32,1992,53821,A,stock,Barrett-Jackson,Canada,49089.29,RB26DETT,Manual,Black
SALE_00152,2018-11-14,R32,1994,32260,D,stock,Mecum,UK,31654.82,RB26DETT,Manual,Black
SALE_00153,2021-10-07,R33,1998,109529,D,stock,Barrett-Jackson,Japan,27028.49,RB26DETT,Manual,White
SALE_00154,2019-07-21,R32,1992,75524,C,stock,Barrett-Jackson,Canada,28705.62,RB26DETT,Manual,Bayside Blue
SALE_00155,2025-10-13,R32,1991,64473,A,modified,Mecum,Japan,41940.26,RB26DETT,Manual,Black
SALE_00156,2022-08-27,R32,1989,155050,B,stock,Mecum,Japan,32356.61,RB26DETT,Manual,Bayside Blue
SALE_00157,2023-03-24,R33,1995,90308,A,stock,Cars & Bids,UK,46606.82,RB26DETT,Manual,Silver
SALE_00158,2022-09-17,R33,1996,76008,B,stock,Cars & Bids,USA,51701.61,RB26DETT,Manual,Midnight Purple
SALE_00159,2018-03-22,R32,1990,88575,C,stock,Cars & Bids,Canada,29306.07,RB26DETT,Manual,Red
SALE_00160,2018-01-25,R33,1997,81367,D,stock,Bonhams,Australia,28544.52,RB26DETT,Automatic,Black
SALE_00161,2022-09-13,R34,2000,5000,B,modified,Barrett-Jackson,UK,114725.42,RB26DETT,Manual,Black
SALE_00162,2020-06-22,R34,2001,92282,B,modified,Bonhams,Canada,91257.54,RB26DETT,Manual,Silver
SALE_00163,2022-11-21,R32,1989,44933,D,stock,Cars & Bids,Japan,28340.05,RB26DETT,Manual,White
SALE_00164,2021-10-08,R32,1993,68890,C,stock,Cars & Bids,USA,30575.26,RB26DETT,Manual,Black
SALE_00165,2019-06-07,R34,1999,56537,A,stock,Cars & Bids,Japan,121529.24,RB26DETT,Manual,Black
SALE_00166,2022-06-02,R32,1990,99364,C,stock,Bonhams,Canada,31773.35,RB26DETT,Manual,Bayside Blue
SALE_00167,2018-04-22,R33,1998,69465,A,modified,Bonhams,Canada,54635.72,RB26DETT,Manual,Red
SALE_00168,2023-03-07,R32,1992,74408,C,stock,Bring a Trailer,Australia,29468.99,RB26DETT,Manual,Midnight Purple
SALE_00169,2022-04-02,R32,1990,140612,B,stock,Mecum,USA,29339.16,RB26DETT,Manual,White
SALE_00170,2021-08-31,R34,2001,126965,C,stock,Barrett-Jackson,Japan,67682.11,RB26DETT,Manual,Black
SALE_00171,2022-09-23,R34,1999,118959,B,modified,Barrett-Jackson,Australia,76327.03,RB26DETT,Manual,White
SALE_00172,2018-03-21,R32,1991,73327,D,stock,Barrett-Jackson,USA,24318.89,RB26DETT,Manual,Black
SALE_00173,2020-07-07,R33,1995,24596,B,modified,Bonhams,USA,52889.43,RB26DETT,Manual,White
SALE_00174,2020-10-09,R32,1989,42453,C,stock,Bring a Trailer,USA,40723.92,RB26DETT,Automatic,Bayside Blue
SALE_00175,2019-09-17,R32,1989,128795,A,modified,Mecum,USA,26982.88,RB26DETT,Manual,Silver
SALE_00176,2025-07-05,R34,2000,117476,B,stock,Mecum,Japan,87641.15,RB26DETT,Manual,Black
SALE_00177,2023-03-20,R34,2002,35396,A,modified,Bring a Trailer,Canada,128868.55,RB26DETT,Manual,Midnight Purple
SALE_00178,2024-10-17,R33,1998,66614,A,stock,Barrett-Jackson,UK,45399.43,RB26DETT,Manual,Midnight Purple
SALE_00179,2021-06-28,R33,1997,107054,C,modified,Bonhams,USA,34994.84,RB26DETT,Automatic,Midnight Purple
SALE_00180,2021-07-01,R34,2001,72100,D,stock,Bring a Trailer,Canada,66164.17,RB26DETT,Manual,Bayside Blue
SALE_00181,2020-03-23,R33,1998,115502,D,stock,Bonhams,Australia,24027.58,RB26DETT,Manual,Black
SALE_00182,2025-01-13,R34,2000,49951,B,modified,Bring a Trailer,Canada,102170.02,RB26DETT,Manual,Red
SALE_00183,2021-05-20,R32,1992,88265,C,stock,Mecum,USA,28096.07,RB26DETT,Automatic,Red
SALE_00184,2018-06-18,R32,1989,100946,C,modified,Bonhams,USA,27648.9,RB26DETT,Manual,Silver
SALE_00185,2025-06-02,R34,2001,99542,B,modified,Barrett-Jackson,Canada,97040.84,RB26DETT,Manual,Black
SALE_00186,2025-04-06,R32,1992,68914,A,stock,Barrett-Jackson,USA,46239.54,RB26DETT,Manual,Silver
SALE_00187,2023-07-01,R34,2000,69397,C,modified,Barrett-Jackson,USA,69383.38,RB26DETT,Manual,Black
SALE_00188,2025-02-16,R32,1992,131826,A,modified,Bring a Trailer,Australia,33181.67,RB26DETT,Automatic,White
SALE_00189,2019-12-23,R34,2000,38909,B,stock,Cars & Bids,Japan,116048.3,RB26DETT,Manual,Black
SALE_00190,2024-01-14,R32,1993,107986,B,stock,Bonhams,UK,33895.4,RB26DETT,Manual,Silver
SALE_00191,2024-08-23,R34,2002,108568,B,stock,Cars & Bids,Australia,104082.86,RB26DETT,Manual,Black
SALE_00192,2018-12-21,R33,1997,74821,B,stock,Barrett-Jackson,UK,48621.34,RB26DETT,Automatic,Midnight Purple
SALE_00193,2023-03-19,R32,1993,117389,A,modified,Barrett-Jackson,Australia,32197.59,RB26DETT,Manual,Midnight Purple
SALE_00194,2022-04-02,R33,1996,89714,B,stock,Bonhams,Canada,41418.76,RB26DETT,Automatic,Red
SALE_00195,2021-08-24,R33,1998,134350,A,modified,Barrett-Jackson,USA,44059.17,RB26DETT,Manual,Black
SALE_00196,2021-12-24,R33,1997,41159,C,stock,Mecum,Australia,46674.96,RB26DETT,Automatic,Midnight Purple
SALE_00197,2024-09-07,R33,1997,75487,B,stock,Barrett-Jackson,UK,48882.81,RB26DETT,Manual,White
SALE_00198,2023-10-18,R32,1993,99467,C,stock,Barrett-Jackson,Canada,24057.23,RB26DETT,Manual,Bayside Blue
SALE_00199,2022-07-23,R32,1993,95114,C,modified,Mecum,USA,22836.34,RB26DETT,Manual,Midnight Purple
SALE_00200,2025-09-29,R34,2000,72228,B,stock,Cars & Bids,Canada,98645.43,RB26DETT,Manual,Midnight Purple
SALE_00201,2018-03-12,R34,1999,42879,A,stock,Cars & Bids,Australia,135032.22,RB26DETT,Manual,Black
SALE_00202,2022-07-15,R33,1998,84180,C,stock,Bring a Trailer,UK,36899.49,RB26DETT,Manual,Midnight Purple
SALE_00203,2024-07-10,R33,1998,48033,A,stock,Mecum,UK,58166.52,RB26DETT,Automatic,Red
SALE_00204,2023-12-15,R34,2002,61286,C,stock,Barrett-Jackson,Australia,99095.94,RB26DETT,Manual,Silver
SALE_00205,2024-03-04,R34,2000,76914,A,modified,Barrett-Jackson,Australia,105738.71,RB26DETT,Automatic,Red
SALE_00206,2023-02-02,R34,2001,85926,C,stock,Barrett-Jackson,UK,79836.28,RB26DETT,Manual,Red
SALE_00207,2020-08-02,R33,1995,24471,A,stock,Barrett-Jackson,UK,67907.84,RB26DETT,Manual,White
SALE_00208,2019-05-05,R34,1999,89640,B,modified,Bring a Trailer,Japan,95443.38,RB26DETT,Automatic,White
SALE_00209,2020-06-05,R33,1996,76654,D,modified,Bonhams,Japan,32514.95,RB26DETT,Manual,Midnight Purple
SALE_00210,2024-08-11,R34,1999,83614,A,stock,Cars & Bids,UK,99289.37,RB26DETT,Manual,Red
SALE_00211,2019-02-16,R33,1995,106245,B,stock,Bonhams,Canada,32331.39,RB26DETT,Manual,White
SALE_00212,2022-01-18,R32,1991,129260,B,stock,Mecum,UK,32099.33,RB26DETT,Manual,Midnight Purple
SALE_00213,2025-12-10,R34,2002,82688,A,stock,Mecum,UK,98386.76,RB26DETT,Manual,Bayside Blue
SALE_00214,2018-07-06,R33,1996,72419,D,stock,Bonhams,Japan,33887.62,RB26DETT,Automatic,White
SALE_00215,2025-10-27,R33,1996,91712,B,modified,Bring a Trailer,Canada,36360.87,RB26DETT,Automatic,White
SALE_00216,2018-02-20,R33,1998,107549,C,stock,Mecum,Australia,27764.79,RB26DETT,Manual,Bayside Blue
SALE_00217,2023-05-15,R32,1991,63790,B,modified,Bonhams,UK,38547.06,RB26DETT,Manual,Black
SALE_00218,2018-07-30,R34,2002,121922,B,stock,Cars & Bids,UK,78723.89,RB26DETT,Manual,Midnight Purple
SALE_00219,2018-09-25,R34,2001,87424,B,modified,Barrett-Jackson,Australia,104854.22,RB26DETT,Manual,Bayside Blue
SALE_00220,2024-06-21,R32,1989,42684,C,stock,Cars & Bids,Australia,32812.07,RB26DETT,Manual,Bayside Blue
SALE_00221,2024-04-24,R33,1996,97600,A,stock,Bring a Trailer,Japan,51355.84,RB26DETT,Manual,Midnight Purple
SALE_00222,2019-05-01,R32,1992,69376,A,stock,Barrett-Jackson,USA,47051.5,RB26DETT,Manual,Midnight Purple
SALE_00223,2024-09-07,R33,1998,40207,B,stock,Bonhams,Australia,55546.41,RB26DETT,Manual,Silver
SALE_00224,2022-04-08,R32,1993,61465,B,modified,Bonhams,Japan,45216.37,RB26DETT,Manual,Silver
SALE_00225,2024-08-07,R32,1994,89080,B,stock,Cars & Bids,Australia,33314.65,RB26DETT,Manual,White
SALE_00226,2024-12-18,R32,1989,31054,B,stock,Cars & Bids,UK,49988.62,RB26DETT,Manual,Silver
SALE_00227,2019-02-11,R33,1998,87013,C,modified,Bring a Trailer,Canada,29230.14,RB26DETT,Manual,Red
SALE_00228,2025-05-29,R32,1991,35012,D,stock,Mecum,Japan,27972.1,RB26DETT,Manual,White
SALE_00229,2019-12-13,R33,1996,50279,B,stock,Bring a Trailer,Japan,55541.01,RB26DETT,Manual,Midnight Purple
SALE_00230,2018-01-11,R34,1999,9932,A,modified,Bonhams,USA,138892.69,RB26DETT,Manual,Midnight Purple
SALE_00231,2024-08-29,R34,2002,116392,B,stock,Cars & Bids,Australia,81703.44,RB26DETT,Manual,Red
